date,county,rt,.lower,.upper,.width,.point
2023-03-14,San Mateo,0.9043831730391758,0.732641268224193,1.0880182450129066,0.95,median
2023-03-21,San Mateo,0.9086130566815216,0.7317633580388929,1.1017115896870262,0.95,median
2023-03-28,San Mateo,0.917250834966673,0.7519620986645362,1.1137133997114388,0.95,median
2023-04-04,San Mateo,0.9346713166439528,0.7624261843228908,1.1342458301142164,0.95,median
2023-04-11,San Mateo,0.9593325293840672,0.7854217883904919,1.1720346851107066,0.95,median
2023-04-18,San Mateo,1.0126337336451532,0.8186184382526637,1.2560527673969275,0.95,median
2023-04-25,San Mateo,1.083513676575047,0.8428926972049444,1.38534318288121,0.95,median
2023-05-01,San Mateo,1.1073247988659556,0.7792871427044901,1.5885056923622127,0.95,median
2021-12-21,Santa Barbara,1.415546056112778,1.2465009978400787,1.596743253581957,0.5,median
2021-12-28,Santa Barbara,1.3149634078614618,1.1791918607601235,1.459511748044105,0.5,median
2022-01-04,Santa Barbara,1.1403791620884536,1.046753341620759,1.2447831946851735,0.5,median
2022-01-11,Santa Barbara,0.9690461025265922,0.9003728178886392,1.039109674368791,0.5,median
2022-01-18,Santa Barbara,0.8225936616837205,0.7661813465790344,0.880184488483921,0.5,median
2022-01-25,Santa Barbara,0.6981434156282786,0.6488474260650605,0.7481350076752483,0.5,median
2022-02-01,Santa Barbara,0.6099985040523916,0.565536970478633,0.6542889146973355,0.5,median
2022-02-08,Santa Barbara,0.548619823183553,0.5094690927263106,0.5926379192016216,0.5,median
2022-02-15,Santa Barbara,0.517499900518112,0.4777065014496947,0.5616113462045296,0.5,median
2022-02-22,Santa Barbara,0.5285023370485639,0.4821769885117063,0.5749681095522371,0.5,median
2022-03-01,Santa Barbara,0.575901718941308,0.5293143545234715,0.6287981508274993,0.5,median
2022-03-08,Santa Barbara,0.6733572965575644,0.616243029495618,0.7340636951345892,0.5,median
2022-03-15,Santa Barbara,0.7965186782830684,0.7335028839486254,0.8634661161353308,0.5,median
2022-03-22,Santa Barbara,0.9312244493637242,0.8578616811014883,1.013297806994085,0.5,median
2022-03-29,Santa Barbara,1.072664438217595,0.9855035574461972,1.1643391362662066,0.5,median
2022-04-05,Santa Barbara,1.192381644765291,1.097745133097377,1.291233653007983,0.5,median
2022-04-12,Santa Barbara,1.2594096860838833,1.1662860982045,1.359065817545502,0.5,median
2022-04-19,Santa Barbara,1.2938750038820808,1.2018078639927825,1.3903105918201242,0.5,median
2022-04-26,Santa Barbara,1.337215779349329,1.2394767347843962,1.4414941677862907,0.5,median
2022-05-03,Santa Barbara,1.3777830332232854,1.278495180622739,1.477111336806781,0.5,median
2022-05-10,Santa Barbara,1.3792411042450403,1.2848935118809934,1.4806538337684594,0.5,median
2022-05-17,Santa Barbara,1.3417565793988966,1.2471374724259294,1.4371130860437655,0.5,median
2022-05-24,Santa Barbara,1.2996763289325444,1.2110540910238807,1.392139789301373,0.5,median
2022-05-31,Santa Barbara,1.2656711337426358,1.180038801696254,1.3592071969121176,0.5,median
2022-06-07,Santa Barbara,1.2383947461379003,1.155812837690302,1.3301964642531532,0.5,median
2022-06-14,Santa Barbara,1.2019974418047903,1.1237141053243098,1.287315782886595,0.5,median
2022-06-21,Santa Barbara,1.1724035306021174,1.0951771023950727,1.2559416434710493,0.5,median
2022-06-28,Santa Barbara,1.1452854869960327,1.0682662017183313,1.2244998070919737,0.5,median
2022-07-05,Santa Barbara,1.1009874613126565,1.030857562563496,1.179452357148451,0.5,median
2022-07-12,Santa Barbara,1.056819827261687,0.9809693515105684,1.133450605932636,0.5,median
2022-07-19,Santa Barbara,1.0108616357386375,0.9423142910254532,1.0822956171851887,0.5,median
