rhat,county,rownumber,bulkess,tailess,min_rt_essbulk,min_rt_esstail,min_bfmi,max_bfmi
0.9991066800726658,Alameda,1,186.73923808026885,305.3692262303497,1078.06854389467,1870.15344203817,0.3629252485141597,0.5713285204419004
1.017454630355641,Alameda,2,2404.971488715162,2712.2716258530654,NA,NA,0.3629252485141597,0.5713285204419004
0.9991192192052072,Amador,1,328.9281834015897,598.8139894402498,1004.69054159393,1669.20941626227,0.6661197028494642,0.7969937849278984
1.0052232510936925,Amador,2,3271.284083206306,2755.4647325370743,NA,NA,0.6661197028494642,0.7969937849278984
0.998761769341197,Butte,1,337.4878406899412,704.1642317344077,1624.85180937746,1860.45337801621,0.5642000846193125,0.6756279077666882
1.009393939922394,Butte,2,2819.053169906115,2805.724194939646,NA,NA,0.5642000846193125,0.6756279077666882
0.9988637541200536,Calaveras,1,516.0211916583462,1004.107524322628,1112.57700257363,1398.20068323379,0.6400397301097422,0.8266671488589923
1.009811819994857,Calaveras,2,3130.2845134726485,2707.9571403520117,NA,NA,0.6400397301097422,0.8266671488589923
0.998968739172852,Colusa,1,503.1880126129856,730.7268665027365,1010.45406562723,1514.63281768605,0.9449410471026026,1.0334529168681283
1.0043561399464154,Colusa,2,3018.3550675483857,2794.870004818129,NA,NA,0.9449410471026026,1.0334529168681283
0.9989325723994816,Contra Costa,1,181.49458060598883,376.70677981316487,1061.90399366643,1542.43100770376,0.3745430746142306,0.6254918980488247
1.0114849316229126,Contra Costa,2,2258.247451897792,2645.040100128769,NA,NA,0.3745430746142306,0.6254918980488247
0.9990040817633836,Del Norte,1,348.678236172249,577.0415482548939,1011.15331827398,1449.44081939874,0.5389667236496946,0.6822290645806875
1.0052919793774031,Del Norte,2,3090.6412454393926,2762.589748276027,NA,NA,0.5389667236496946,0.6822290645806875
0.9991511575634752,El Dorado,1,390.8661437670792,667.0682498681252,1495.30813729752,1542.15799036171,0.5797726990271286,0.7056450322228286
1.0099241583779546,El Dorado,2,2505.4193720119792,2680.1086070868832,NA,NA,0.5797726990271286,0.7056450322228286
0.9991859442892718,Fresno,1,273.98905759757247,496.84311428593,1716.50397125206,1931.67587725424,0.45922771294859865,0.5463594026306902
1.0064334757306408,Fresno,2,2670.3361719157306,2711.5055286508136,NA,NA,0.45922771294859865,0.5463594026306902
0.998931407553314,Glenn,1,193.71497830781564,377.8331857871332,1059.02030158859,1017.08206507117,0.4417032077932591,0.7433458194924708
1.0231800278952088,Glenn,2,2829.7344986447797,2753.704781113684,NA,NA,0.4417032077932591,0.7433458194924708
0.9989567253035572,Humboldt,1,651.8366791455367,1064.5860587628736,1060.37384278005,1673.28125214137,0.7778536378143763,0.8911858979734524
1.0055481748576574,Humboldt,2,3195.0408058749263,2756.3089265848125,NA,NA,0.7778536378143763,0.8911858979734524
0.998982616339672,Imperial,1,231.0880727630886,564.631397398617,1101.73281019924,1634.84446909503,0.45533529304831255,0.7382110157967635
1.0160353864447067,Imperial,2,2171.8649090393847,2517.6255063190115,NA,NA,0.45533529304831255,0.7382110157967635
0.9990335694941688,Inyo,1,324.31938813013244,645.1660028343625,1107.25920952338,1672.08051263405,0.5708141562173199,0.7159861465645447
1.0172318620031386,Inyo,2,3251.0452957866196,2756.3558486325733,NA,NA,0.5708141562173199,0.7159861465645447
0.9991040668058572,Kern,1,255.6605113370011,414.2154217481428,2030.51610164845,2025.69065131621,0.4568666614236778,0.619241938897898
1.0045119024069102,Kern,2,2941.2665909198777,2801.7825529479856,NA,NA,0.4568666614236778,0.619241938897898
0.999048139588424,Kings,1,264.93780296183996,429.8325727921483,1281.61519154408,1602.84121541433,0.4832244267112674,0.75272308648366
1.0077120581230696,Kings,2,2634.3770707392955,2726.401107775572,NA,NA,0.4832244267112674,0.75272308648366
0.9990009262602656,Lake,1,417.60833655381646,698.4940918762231,1356.44697990221,1630.18128356558,0.6382267976149677,0.8144817712023447
1.012643734828956,Lake,2,2960.920737620941,2708.0278235552983,NA,NA,0.6382267976149677,0.8144817712023447
0.9987033330629392,Lassen,1,312.43208367152175,523.8187031936112,1058.12698576388,1173.94535135692,0.585380342875803,0.6834138930335186
1.0095405410899805,Lassen,2,3152.4323554182265,2752.712062805342,NA,NA,0.585380342875803,0.6834138930335186
0.9990579649571528,Los Angeles,1,181.29497409837845,326.32437552183825,1802.38287370993,2165.79917903647,0.3544010306220254,0.5654912623972409
1.0217303388746184,Los Angeles,2,2841.6032278835037,2712.1363854601905,NA,NA,0.3544010306220254,0.5654912623972409
0.9992701364751412,Madera,1,220.4946143941715,379.1753478607871,1001.89221266891,1086.70294429316,0.4626791912869877,0.5594589263265954
1.010607936895419,Madera,2,2273.201794727655,2661.1232210158696,NA,NA,0.4626791912869877,0.5594589263265954
0.9990039784325204,Marin,1,283.7127401806621,332.50264735696715,1258.81503326919,1015.28056080914,0.4041701419815818,0.5711876127624772
1.004335647275851,Marin,2,2905.369287228833,2797.567039909437,NA,NA,0.4041701419815818,0.5711876127624772
0.999115224591992,Mariposa,1,632.0348568547653,580.6394270550246,1353.43062302862,1627.67609134024,0.8021338104949622,0.9037510955904356
1.005785785229367,Mariposa,2,3095.6041071269487,2842.869317611946,NA,NA,0.8021338104949622,0.9037510955904356
0.9989057086198436,Mendocino,1,305.72286432151805,672.3498679862101,1008.75609222378,1157.9965871645,0.6365791550149983,0.7086550984569798
1.0119113378781857,Mendocino,2,3076.181091147055,2756.355848632574,NA,NA,0.6365791550149983,0.7086550984569798
