date,county,rt,.lower,.upper,.width,.point
2023-03-12,Alameda,1.0744018912584914,0.877856523584505,1.3400907819618209,0.95,median
2023-03-19,Alameda,1.049283901268225,0.8737313309417192,1.2510680452894418,0.95,median
2023-03-26,Alameda,1.0361394385836933,0.875107347683965,1.2043403501686374,0.95,median
2023-04-02,Alameda,1.031527349185001,0.8897579990655616,1.182634405141775,0.95,median
2023-04-09,Alameda,1.0317128078718625,0.89484069986153425,1.1741138786144776,0.95,median
2023-04-16,Alameda,1.0285291848897828,0.8976908639748733,1.1811737833042286,0.95,median
2023-04-23,Alameda,1.0232245880858275,0.8973070538553106,1.1709954531503997,0.95,median
2023-04-30,Alameda,1.0250545411372487,0.9018706479934288,1.1667867294496583,0.95,median
2023-05-07,Alameda,1.0258164935208196,0.8994257107554178,1.165621910020296,0.95,median
2023-05-14,Alameda,1.017946119634379,0.8969533445867434,1.1627310420619563,0.95,median
2023-05-21,Alameda,1.008373509728315,0.8800678923059012,1.1447043128847585,0.95,median
2023-05-28,Alameda,1.0034184260306969,0.8613215342785636,1.1373684709183334,0.95,median
2023-06-04,Alameda,1.0074855165936878,0.8681117428962666,1.136109361517842,0.95,median
2023-06-11,Alameda,1.018577183355962,0.8786304157884886,1.153410319011064,0.95,median
2023-06-18,Alameda,1.0445837015328396,0.9007880729888468,1.1785747461559577,0.95,median
2023-06-25,Alameda,1.0790314448776668,0.9459949338328733,1.2289693396065875,0.95,median
2023-07-02,Alameda,1.108796657042523,0.9751400227230668,1.275407421948798,0.95,median
2023-07-09,Alameda,1.134856496275621,1.0047014747472005,1.3086342864197713,0.95,median
2023-07-16,Alameda,1.1515882202929504,1.0215005890147484,1.3208458474201676,0.95,median
2023-07-23,Alameda,1.1595532149348315,1.0327676326710746,1.3413327449666603,0.95,median
2023-07-30,Alameda,1.152340705516146,1.0249654636122782,1.3344278916923833,0.95,median
2023-08-06,Alameda,1.1268221453388645,1.002453496941451,1.3009185735176945,0.95,median
2023-08-13,Alameda,1.090764674069577,0.9736585253420508,1.2563116546053237,0.95,median
2023-08-20,Alameda,1.0412622455162146,0.923751516897564,1.1905207673935103,0.95,median
2023-08-27,Alameda,0.9866157411449564,0.8658602182609346,1.1113178556226353,0.95,median
2023-09-03,Alameda,0.9352491396366192,0.8122884659756812,1.0491109299107952,0.95,median
2023-09-10,Alameda,0.8962323136224286,0.7695681097455488,1.005611845724081,0.95,median
2023-09-17,Alameda,0.8753982804896343,0.7419476251628387,0.9883128692149946,0.95,median
2023-09-24,Alameda,0.874144546220949,0.7435757076501536,0.9878577664583682,0.95,median
2023-10-01,Alameda,0.8875923292713289,0.7659402503210594,1.0011395840439612,0.95,median
2023-10-08,Alameda,0.9165248561279736,0.7972884475875585,1.0292879989051298,0.95,median
2023-10-15,Alameda,0.948762323751328,0.8342285336369001,1.077703995060176,0.95,median
2023-10-22,Alameda,0.9788414959409628,0.8631797329176267,1.1256305989597384,0.95,median
2023-10-29,Alameda,0.994419415482884,0.8824512606606408,1.148696951042846,0.95,median
2023-11-05,Alameda,1.004028230391936,0.8844736863377332,1.1523120383835,0.95,median
2023-11-12,Alameda,1.007689210233436,0.8829178501308246,1.1470395407670673,0.95,median
2023-11-19,Alameda,1.0179194891607737,0.8865468859414825,1.1726228115941189,0.95,median
2023-11-26,Alameda,1.0294219294335043,0.8910818048481044,1.205012660847319,0.95,median
