county,time,date,cases,est_cases,est_omicron_cases,est_other_cases,tests,est_tests,est_omicron_tests,est_other_tests,hospitalizations,deaths,est_deaths,icu,cum_deaths,cum_est_deaths,prev_cum_deaths,prev_cum_est_deaths
Alameda,1,2021-12-20,2982,2982,1419,1563,89768,89768,41917,47851,47,9,9,14,1548,1548,1539,1539
Amador,1,2021-12-20,49,49,18,31,1716,1716,602,1114,2,0,0,3,70,70,70,70
Butte,1,2021-12-20,193,193,101,92,4385,4385,2285,2100,24,5,5,1,359,359,354,354
Calaveras,1,2021-12-20,59,59,23,36,1520,1520,582,938,1,2,2,0,92,92,90,90
Colusa,1,2021-12-20,11,11,5,6,397,397,170,227,1,0,0,0,21,21,21,21
Contra Costa,1,2021-12-20,1686,1686,590,1096,43224,43224,14846,28378,27,4,4,7,1080,1080,1076,1076
Del Norte,1,2021-12-20,19,19,8,11,1378,1378,570,808,0,0,0,0,42,42,42,42
El Dorado,1,2021-12-20,238,238,93,145,4466,4466,1729,2737,4,4,4,3,179,179,175,175
Fresno,1,2021-12-20,1057,1057,380,677,24956,24956,8882,16074,131,19,19,45,2419,2419,2400,2400
Glenn,1,2021-12-20,20,20,8,12,462,462,185,277,0,0,0,0,41,41,41,41
Humboldt,1,2021-12-20,164,164,67,97,3772,3772,1529,2243,11,1,1,2,121,121,120,120
Imperial,1,2021-12-20,584,584,225,359,5526,5526,2105,3421,40,9,9,27,817,817,808,808
Inyo,1,2021-12-20,31,31,14,17,358,358,154,204,1,1,1,0,49,49,48,48
Kern,1,2021-12-20,927,927,401,526,26093,26093,11160,14933,84,24,24,27,2023,2023,1999,1999
Kings,1,2021-12-20,244,244,94,150,6912,6912,2638,4274,15,6,6,3,389,389,383,383
Lake,1,2021-12-20,37,37,13,24,1317,1317,464,853,0,0,0,0,116,116,116,116
Lassen,1,2021-12-20,11,11,5,6,2387,2387,1093,1294,0,0,0,0,54,54,54,54
Los Angeles,1,2021-12-20,31635,31635,22013,9622,985582,985600,676244,309356,574,107,107,174,27371,27371,27264,27264
Madera,1,2021-12-20,159,159,56,103,6014,6014,2122,3892,9,3,3,5,334,334,331,331
Marin,1,2021-12-20,566,566,210,356,11811,11811,4295,7516,5,1,1,1,256,256,255,255
Mariposa,1,2021-12-20,21,21,7,14,448,448,154,294,0,0,0,0,21,21,21,21
Mendocino,1,2021-12-20,91,91,27,64,2687,2687,789,1898,3,2,2,4,103,103,101,101
Merced,1,2021-12-20,323,323,138,185,5616,5616,2366,3250,11,6,6,12,693,693,687,687
Modoc,1,2021-12-20,5,5,2,3,67,67,30,37,2,0,0,0,6,6,6,6
Mono,1,2021-12-20,37,37,10,27,313,313,81,232,1,0,0,0,4,4,4,4
Monterey,1,2021-12-20,481,481,126,355,13259,13259,3421,9838,23,3,3,8,642,642,639,639
Napa,1,2021-12-20,229,229,106,123,5390,5390,2432,2958,2,1,1,2,108,108,107,107
Nevada,1,2021-12-20,161,161,58,103,2764,2764,999,1765,4,1,1,2,110,110,109,109
Orange,1,2021-12-20,4866,4866,2405,2461,99380,99380,48406,50974,132,34,34,56,6022,6022,5988,5988
Placer,1,2021-12-20,555,555,190,365,11155,11155,3769,7386,53,6,6,24,501,501,495,495
Plumas,1,2021-12-20,16,16,6,10,513,513,195,318,0,0,0,0,12,12,12,12
Riverside,1,2021-12-20,5609,5609,2352,3257,78332,78332,32448,45884,238,40,40,82,5579,5579,5539,5539
Sacramento,1,2021-12-20,2147,2147,857,1290,53572,53572,21166,32406,101,21,21,41,2490,2490,2469,2469
San Benito,1,2021-12-20,91,91,41,50,1928,1928,860,1068,2,3,3,2,81,81,78,78
San Bernardino,1,2021-12-20,5012,5012,2369,2643,79702,79702,37183,42519,299,66,66,112,6511,6511,6445,6445
San Diego,1,2021-12-20,8682,8682,5934,2748,149629,149630,101537,48093,249,29,29,94,4479,4479,4450,4450
San Francisco,1,2021-12-20,2989,2989,741,2248,57004,57004,13806,43198,28,3,3,10,693,693,690,690
San Joaquin,1,2021-12-20,952,952,359,593,25321,25321,9391,15930,48,13,13,27,1972,1972,1959,1959
San Luis Obispo,1,2021-12-20,426,426,187,239,9993,9993,4349,5644,11,3,3,6,371,371,368,368
San Mateo,1,2021-12-20,1560,1560,771,789,50632,50632,24530,26102,9,0,0,5,601,601,601,601
Santa Barbara,1,2021-12-20,789,789,326,463,15818,15818,6434,9384,18,8,8,12,570,570,562,562
Santa Clara,1,2021-12-20,2948,2948,1981,967,118952,118952,78834,40118,85,8,8,38,1978,1978,1970,1970
Santa Cruz,1,2021-12-20,404,404,182,222,19816,19816,8760,11056,11,2,2,5,230,230,228,228
Shasta,1,2021-12-20,163,163,65,98,6035,6035,2392,3643,28,8,8,8,448,448,440,440
Siskiyou,1,2021-12-20,20,20,9,11,449,449,207,242,2,2,2,2,63,63,61,61
Solano,1,2021-12-20,496,496,207,289,14746,14746,6067,8679,21,4,4,5,389,389,385,385
Sonoma,1,2021-12-20,754,754,320,434,20779,20779,8668,12111,22,1,1,6,420,420,419,419
Stanislaus,1,2021-12-20,670,670,210,460,13019,13019,4035,8984,90,13,13,22,1432,1432,1419,1419
Sutter,1,2021-12-20,123,123,51,72,2315,2315,947,1368,0,2,2,0,193,193,191,191
Tehama,1,2021-12-20,52,52,17,35,1324,1324,425,899,4,0,0,3,165,165,165,165
Trinity,1,2021-12-20,1,1,0,1,98,98,31,67,0,1,1,0,19,19,18,18
Tulare,1,2021-12-20,404,404,125,279,12352,12352,3799,8553,36,19,19,13,1308,1308,1289,1289
Tuolumne,1,2021-12-20,97,97,35,62,1940,1940,693,1247,7,0,0,0,150,150,150,150
Ventura,1,2021-12-20,2046,2046,1052,994,39239,39239,19902,19337,62,9,9,14,1216,1216,1207,1207
Yolo,1,2021-12-20,329,329,146,183,24698,24698,10820,13878,4,0,0,1,294,294,294,294
Yuba,1,2021-12-20,100,100,43,57,1874,1874,799,1075,3,0,0,4,102,102,102,102
Alameda,2,2021-12-27,7511,7511,4025,3486,87415,87415,46205,41210,89,12,12,19,1560,1560,1548,1548
Amador,2,2021-12-27,92,92,38,54,1445,1445,590,855,2,0,0,3,70,70,70,70
Butte,2,2021-12-27,540,540,318,222,4551,4551,2662,1889,37,3,3,3,362,362,359,359
Calaveras,2,2021-12-27,100,100,45,55,989,989,442,547,1,1,1,1,93,93,92,92
Colusa,2,2021-12-27,27,27,14,13,243,243,119,124,4,0,0,0,21,21,21,21
Contra Costa,2,2021-12-27,5145,5145,2107,3038,46333,46333,18594,27739,44,3,3,16,1083,1083,1080,1080
Del Norte,2,2021-12-27,25,25,12,13,1423,1423,679,744,0,0,0,1,42,42,42,42
El Dorado,2,2021-12-27,511,511,231,280,4083,4083,1815,2268,7,0,0,4,179,179,179,179
Fresno,2,2021-12-27,2210,2210,935,1275,23816,23816,9913,13903,122,16,16,41,2435,2435,2419,2419
Glenn,2,2021-12-27,53,53,24,29,451,451,207,244,0,1,1,0,42,42,41,41
Humboldt,2,2021-12-27,501,501,238,263,3456,3456,1617,1839,10,1,1,0,122,122,121,121
Imperial,2,2021-12-27,882,882,396,486,5897,5897,2611,3286,35,10,10,26,827,827,817,817
Inyo,2,2021-12-27,109,109,54,55,447,447,219,228,0,1,1,0,50,50,49,49
Kern,2,2021-12-27,1988,1988,996,992,22592,22592,11165,11427,79,18,18,36,2041,2041,2023,2023
Kings,2,2021-12-27,506,506,229,277,5481,5481,2433,3048,17,1,1,3,390,390,389,389
Lake,2,2021-12-27,67,67,28,39,1203,1203,495,708,0,1,1,0,117,117,116,116
Lassen,2,2021-12-27,21,21,11,10,2242,2242,1160,1082,0,0,0,0,54,54,54,54
Los Angeles,2,2021-12-27,96144,96145,71606,24539,717723,717737,530964,186773,862,115,115,207,27486,27486,27371,27371
Madera,2,2021-12-27,341,341,144,197,4209,4209,1747,2462,9,2,2,4,336,336,334,334
Marin,2,2021-12-27,1607,1607,688,919,16774,16774,7084,9690,3,0,0,1,256,256,256,256
Mariposa,2,2021-12-27,36,36,15,21,493,493,195,298,0,0,0,0,21,21,21,21
Mendocino,2,2021-12-27,152,152,55,97,2496,2496,862,1634,5,0,0,2,103,103,103,103
Merced,2,2021-12-27,653,653,322,331,5100,5100,2471,2629,11,7,7,10,700,700,693,693
Modoc,2,2021-12-27,3,3,1,2,38,38,19,19,1,0,0,0,6,6,6,6
Mono,2,2021-12-27,123,123,38,85,366,366,110,256,1,0,0,0,4,4,4,4
Monterey,2,2021-12-27,1009,1009,318,691,12882,12882,3971,8911,21,3,3,11,645,645,642,642
Napa,2,2021-12-27,809,809,422,387,6660,6660,3443,3217,6,0,0,1,108,108,108,108
Nevada,2,2021-12-27,236,236,100,136,1984,1984,815,1169,6,1,1,1,111,111,110,110
Orange,2,2021-12-27,18033,18033,10059,7974,130306,130307,71860,58447,256,31,31,66,6053,6053,6022,6022
Placer,2,2021-12-27,1251,1251,502,749,10769,10769,4261,6508,63,2,2,27,503,503,501,501
Plumas,2,2021-12-27,18,18,8,10,299,299,129,170,0,0,0,0,12,12,12,12
Riverside,2,2021-12-27,13684,13684,6601,7083,87498,87499,41713,45786,306,53,53,81,5632,5632,5579,5579
Sacramento,2,2021-12-27,5199,5199,2414,2785,52471,52471,23999,28472,135,22,22,44,2512,2512,2490,2490
San Benito,2,2021-12-27,318,318,163,155,2307,2307,1173,1134,1,3,3,3,84,84,81,81
San Bernardino,2,2021-12-27,14401,14401,7737,6664,87891,87892,46455,41437,341,69,69,141,6580,6580,6511,6511
San Diego,2,2021-12-27,27117,27117,19929,7188,177596,177600,129643,47957,315,34,34,96,4513,4513,4479,4479
San Francisco,2,2021-12-27,6858,6858,2010,4848,65931,65931,19043,46888,31,1,1,14,694,694,693,693
San Joaquin,2,2021-12-27,2352,2352,1037,1315,22767,22767,9880,12887,61,15,15,25,1987,1987,1972,1972
San Luis Obispo,2,2021-12-27,1153,1153,583,570,11182,11182,5563,5619,11,1,1,8,372,372,371,371
San Mateo,2,2021-12-27,5283,5283,2933,2350,55544,55544,30397,25147,19,2,2,5,603,603,601,601
Santa Barbara,2,2021-12-27,2142,2142,1022,1120,15278,15278,7172,8106,33,5,5,10,575,575,570,570
Santa Clara,2,2021-12-27,9052,9052,6551,2501,107055,107056,76805,30251,95,10,10,38,1988,1988,1978,1978
Santa Cruz,2,2021-12-27,946,946,489,457,12423,12423,6305,6118,11,0,0,2,230,230,230,230
Shasta,2,2021-12-27,263,263,123,140,4624,4624,2123,2501,32,5,5,12,453,453,448,448
Siskiyou,2,2021-12-27,21,21,11,10,360,360,190,170,0,0,0,0,63,63,63,63
Solano,2,2021-12-27,1301,1301,627,674,17043,17043,8085,8958,25,5,5,5,394,394,389,389
Sonoma,2,2021-12-27,1912,1912,933,979,21662,21662,10423,11239,19,1,1,5,421,421,420,420
Stanislaus,2,2021-12-27,1249,1249,468,781,11151,11151,4114,7037,94,17,17,18,1449,1449,1432,1432
Sutter,2,2021-12-27,226,226,108,118,2131,2131,1006,1125,0,2,2,0,195,195,193,193
Tehama,2,2021-12-27,103,103,40,63,1106,1106,419,687,6,2,2,3,167,167,165,165
Trinity,2,2021-12-27,4,4,2,2,101,101,37,64,0,0,0,0,19,19,19,19
Tulare,2,2021-12-27,815,815,301,514,11116,11116,4057,7059,36,10,10,9,1318,1318,1308,1308
Tuolumne,2,2021-12-27,171,171,72,99,1672,1672,692,980,5,0,0,1,150,150,150,150
Ventura,2,2021-12-27,5721,5721,3307,2414,39329,39329,22501,16828,66,8,8,19,1224,1224,1216,1216
Yolo,2,2021-12-27,818,818,417,401,22121,22121,11082,11039,7,1,1,4,295,295,294,294
Yuba,2,2021-12-27,164,164,81,83,1534,1534,749,785,8,1,1,4,103,103,102,102
Alameda,3,2022-01-03,17658,17658,10481,7177,117282,117286,69469,47817,156,5,5,31,1565,1565,1560,1560
Amador,3,2022-01-03,218,218,104,114,2179,2179,1029,1150,5,1,1,2,71,71,70,70
Butte,3,2022-01-03,1202,1202,778,424,6871,6871,4430,2441,32,0,0,4,362,362,362,362
Calaveras,3,2022-01-03,232,232,120,112,1305,1305,666,639,0,1,1,1,94,94,93,93
Colusa,3,2022-01-03,48,48,26,22,393,393,217,176,5,0,0,0,21,21,21,21
Contra Costa,3,2022-01-03,13525,13525,6291,7234,69127,69128,32071,37057,76,10,10,21,1093,1093,1083,1083
Del Norte,3,2022-01-03,86,86,47,39,2132,2132,1143,989,0,0,0,0,42,42,42,42
El Dorado,3,2022-01-03,1290,1290,660,630,6062,6062,3079,2983,7,4,4,6,183,183,179,179
Fresno,3,2022-01-03,6606,6606,3175,3431,38536,38536,18396,20140,175,14,14,44,2449,2449,2435,2435
Glenn,3,2022-01-03,78,78,40,38,610,610,318,292,0,1,1,0,43,43,42,42
Humboldt,3,2022-01-03,881,881,471,410,5295,5295,2810,2485,9,1,1,3,123,123,122,122
Imperial,3,2022-01-03,1878,1878,956,922,9138,9138,4614,4524,35,14,14,29,841,841,827,827
Inyo,3,2022-01-03,265,265,147,118,713,713,394,319,3,0,0,0,50,50,50,50
Kern,3,2022-01-03,5836,5836,3271,2565,35876,35876,19998,15878,100,16,16,32,2057,2057,2041,2041
Kings,3,2022-01-03,1096,1096,561,535,8511,8511,4310,4201,13,3,3,5,393,393,390,390
Lake,3,2022-01-03,220,220,106,114,1777,1777,847,930,1,0,0,1,117,117,117,117
Lassen,3,2022-01-03,61,61,35,26,3119,3119,1806,1313,2,0,0,0,54,54,54,54
Los Angeles,3,2022-01-03,204163,204170,160572,43598,1088025,1088054,856017,232037,1937,149,149,303,27635,27635,27486,27486
Madera,3,2022-01-03,831,831,398,433,6362,6362,3024,3338,17,3,3,6,339,339,336,336
Marin,3,2022-01-03,2363,2363,1148,1215,17674,17674,8532,9142,15,1,1,3,257,257,256,256
Mariposa,3,2022-01-03,103,103,48,55,657,657,304,353,0,0,0,0,21,21,21,21
Mendocino,3,2022-01-03,453,453,187,266,3572,3572,1454,2118,7,1,1,2,104,104,103,103
Merced,3,2022-01-03,1604,1604,882,722,8548,8548,4667,3881,3,9,9,4,709,709,700,700
Modoc,3,2022-01-03,15,15,8,7,59,59,33,26,0,0,0,0,6,6,6,6
Mono,3,2022-01-03,180,180,65,115,435,435,156,279,2,0,0,0,4,4,4,4
Monterey,3,2022-01-03,2465,2465,908,1557,20639,20639,7547,13092,30,4,4,10,649,649,645,645
Napa,3,2022-01-03,1856,1856,1076,780,11756,11756,6790,4966,9,1,1,3,109,109,108,108
Nevada,3,2022-01-03,647,647,314,333,3071,3071,1485,1586,7,1,1,3,112,112,111,111
Orange,3,2022-01-03,45473,45473,27786,17687,220203,220210,134352,85858,504,34,34,110,6087,6087,6053,6053
Placer,3,2022-01-03,2917,2917,1338,1579,15071,15071,6863,8208,113,15,15,24,518,518,503,503
Plumas,3,2022-01-03,55,55,28,27,496,496,248,248,1,0,0,0,12,12,12,12
Riverside,3,2022-01-03,32053,32053,17313,14740,138453,138457,74451,64006,564,54,54,94,5686,5686,5632,5632
Sacramento,3,2022-01-03,14148,14148,7388,6760,80499,80500,41835,38665,219,25,25,57,2537,2537,2512,2512
San Benito,3,2022-01-03,739,739,422,317,3464,3464,1976,1488,3,1,1,2,85,85,84,84
San Bernardino,3,2022-01-03,33867,33867,20032,13835,135047,135051,79601,55450,571,94,94,136,6674,6674,6580,6580
San Diego,3,2022-01-03,61096,61096,47462,13634,253655,253662,196958,56704,561,35,35,121,4548,4548,4513,4513
San Francisco,3,2022-01-03,11439,11439,3973,7466,85531,85532,29513,56019,78,5,5,22,699,699,694,694
San Joaquin,3,2022-01-03,6978,6978,3479,3499,36106,36106,17888,18218,80,13,13,27,2000,2000,1987,1987
San Luis Obispo,3,2022-01-03,2473,2473,1386,1087,15963,15963,8917,7046,24,5,5,7,377,377,372,372
San Mateo,3,2022-01-03,10628,10628,6507,4121,81980,81981,50096,31885,37,4,4,7,607,607,603,603
Santa Barbara,3,2022-01-03,5327,5327,2851,2476,28193,28193,15053,13140,53,5,5,7,580,580,575,575
Santa Clara,3,2022-01-03,23031,23031,17705,5326,170172,170178,130642,39536,186,10,10,58,1998,1998,1988,1988
Santa Cruz,3,2022-01-03,2410,2410,1388,1022,21662,21662,12485,9177,15,5,5,3,235,235,230,230
Shasta,3,2022-01-03,601,601,318,283,6174,6174,3228,2946,33,2,2,13,455,455,453,453
Siskiyou,3,2022-01-03,74,74,44,30,590,590,348,242,0,0,0,0,63,63,63,63
Solano,3,2022-01-03,4071,4071,2180,1891,26132,26132,13980,12152,54,3,3,9,397,397,394,394
Sonoma,3,2022-01-03,4541,4541,2480,2061,32186,32186,17528,14658,25,7,7,4,428,428,421,421
Stanislaus,3,2022-01-03,3334,3334,1436,1898,17985,17985,7689,10296,129,9,9,20,1458,1458,1449,1449
Sutter,3,2022-01-03,547,547,296,251,2980,2980,1594,1386,0,2,2,0,197,197,195,195
Tehama,3,2022-01-03,216,216,97,119,1474,1474,652,822,4,1,1,2,168,168,167,167
Trinity,3,2022-01-03,14,14,6,8,107,107,46,61,0,0,0,0,19,19,19,19
Tulare,3,2022-01-03,2143,2143,917,1226,16001,16001,6773,9228,57,5,5,7,1323,1323,1318,1318
Tuolumne,3,2022-01-03,383,383,186,197,2544,2544,1227,1317,7,3,3,0,153,153,150,150
Ventura,3,2022-01-03,12671,12671,7986,4685,59673,59673,37562,22111,136,11,11,28,1235,1235,1224,1224
Yolo,3,2022-01-03,2321,2321,1323,998,31707,31707,17935,13772,8,4,4,3,299,299,295,295
Yuba,3,2022-01-03,473,473,262,211,2331,2331,1284,1047,17,1,1,6,104,104,103,103
Alameda,4,2022-01-10,31213,31213,20221,10992,193863,193868,125728,68140,277,14,14,46,1579,1579,1565,1565
Amador,4,2022-01-10,392,392,210,182,2726,2726,1447,1279,4,0,0,4,71,71,71,71
Butte,4,2022-01-10,2000,2000,1395,605,10455,10455,7284,3171,55,2,2,4,364,364,362,362
Calaveras,4,2022-01-10,523,523,299,224,2607,2607,1479,1128,0,1,1,2,95,95,94,94
Colusa,4,2022-01-10,105,105,65,40,756,756,462,294,5,0,0,0,21,21,21,21
Contra Costa,4,2022-01-10,19740,19740,10339,9401,102253,102258,53546,48712,152,12,12,24,1105,1105,1093,1093
Del Norte,4,2022-01-10,177,177,106,71,3958,3958,2363,1595,2,0,0,0,42,42,42,42
El Dorado,4,2022-01-10,2214,2214,1260,954,9363,9363,5325,4038,14,6,6,2,189,189,183,183
Fresno,4,2022-01-10,14417,14417,7791,6626,59853,59853,32274,27579,301,14,14,47,2463,2463,2449,2449
Glenn,4,2022-01-10,219,219,127,92,938,938,544,394,2,0,0,0,43,43,43,43
Humboldt,4,2022-01-10,1401,1401,827,574,8355,8355,4924,3431,18,5,5,2,128,128,123,123
Imperial,4,2022-01-10,3623,3623,2047,1576,13829,13829,7797,6032,58,11,11,25,852,852,841,841
Inyo,4,2022-01-10,408,408,248,160,1356,1356,826,530,4,2,2,0,52,52,50,50
Kern,4,2022-01-10,11946,11946,7346,4600,57115,57115,35082,22033,181,26,26,35,2083,2083,2057,2057
Kings,4,2022-01-10,2412,2412,1380,1032,13012,13012,7401,5611,33,1,1,4,394,394,393,393
Lake,4,2022-01-10,499,499,268,231,2761,2761,1477,1284,0,3,3,1,120,120,117,117
Lassen,4,2022-01-10,196,196,126,70,3438,3438,2185,1253,1,0,0,0,54,54,54,54
Los Angeles,4,2022-01-10,329112,329124,270892,58232,1915126,1915190,1576866,338324,3253,270,270,513,27905,27905,27635,27635
Madera,4,2022-01-10,1915,1915,1030,885,10380,10380,5547,4833,19,1,1,6,340,340,339,339
Marin,4,2022-01-10,2941,2941,1602,1339,21012,21012,11438,9574,18,3,3,5,260,260,257,257
Mariposa,4,2022-01-10,199,199,105,94,1158,1158,607,551,0,1,1,0,22,22,21,21
Mendocino,4,2022-01-10,874,874,410,464,5538,5538,2581,2957,8,2,2,2,106,106,104,104
Merced,4,2022-01-10,3915,3915,2370,1545,14514,14514,8774,5740,33,10,10,11,719,719,709,709
Modoc,4,2022-01-10,13,13,8,5,109,109,67,42,0,0,0,0,6,6,6,6
Mono,4,2022-01-10,253,253,106,147,863,863,360,503,1,1,1,0,5,5,4,4
Monterey,4,2022-01-10,4982,4982,2118,2864,33232,33232,14051,19181,44,5,5,12,654,654,649,649
Napa,4,2022-01-10,2646,2646,1679,967,14352,14352,9103,5249,14,1,1,4,110,110,109,109
Nevada,4,2022-01-10,1189,1189,646,543,5233,5233,2839,2394,10,2,2,3,114,114,112,112
Orange,4,2022-01-10,60095,60095,39999,20096,317673,317685,211521,106164,854,100,100,159,6187,6187,6087,6087
Placer,4,2022-01-10,5196,5196,2692,2504,22555,22555,11665,10890,179,6,6,29,524,524,518,518
Plumas,4,2022-01-10,141,141,79,62,803,803,446,357,5,0,0,0,12,12,12,12
Riverside,4,2022-01-10,48270,48270,28858,19412,187763,187768,112222,75546,762,83,83,139,5769,5769,5686,5686
Sacramento,4,2022-01-10,27528,27528,15929,11599,121782,121787,70480,51307,375,37,37,89,2574,2574,2537,2537
San Benito,4,2022-01-10,1039,1039,655,384,4616,4616,2910,1706,3,1,1,2,86,86,85,85
San Bernardino,4,2022-01-10,50578,50578,32764,17814,192755,192760,124813,67947,784,113,113,187,6787,6787,6674,6674
San Diego,4,2022-01-10,82761,82763,67436,15327,330085,330097,269009,61088,895,66,66,166,4614,4614,4548,4548
San Francisco,4,2022-01-10,15098,15098,6036,9062,117288,117293,46958,70335,158,12,12,35,711,711,699,699
San Joaquin,4,2022-01-10,14515,14515,8088,6427,66806,66807,37164,29643,151,15,15,45,2015,2015,2000,2000
San Luis Obispo,4,2022-01-10,4337,4337,2676,1661,21621,21621,13356,8265,30,2,2,7,379,379,377,377
San Mateo,4,2022-01-10,15023,15023,10006,5017,113103,113108,75331,37777,95,5,5,16,612,612,607,607
Santa Barbara,4,2022-01-10,8538,8538,5054,3484,47382,47382,28051,19331,84,9,9,10,589,589,580,580
Santa Clara,4,2022-01-10,36506,36506,29460,7046,271164,271173,218787,52386,350,26,26,68,2024,2024,1998,1998
Santa Cruz,4,2022-01-10,4543,4543,2861,1682,42815,42815,26980,15835,25,2,2,2,237,237,235,235
Shasta,4,2022-01-10,1060,1060,619,441,8406,8406,4894,3512,37,7,7,12,462,462,455,455
Siskiyou,4,2022-01-10,120,120,77,43,919,919,591,328,3,1,1,1,64,64,63,63
Solano,4,2022-01-10,6925,6925,4126,2799,37117,37117,22127,14990,94,6,6,15,403,403,397,397
Sonoma,4,2022-01-10,8869,8869,5343,3526,47195,47195,28451,18744,72,9,9,8,437,437,428,428
Stanislaus,4,2022-01-10,6748,6748,3305,3443,29317,29317,14323,14994,173,13,13,19,1471,1471,1458,1458
Sutter,4,2022-01-10,1245,1245,743,502,5062,5062,3006,2056,0,2,2,0,199,199,197,197
Tehama,4,2022-01-10,513,513,257,256,2482,2482,1241,1241,13,1,1,1,169,169,168,168
Trinity,4,2022-01-10,38,38,19,19,275,275,135,140,0,0,0,0,19,19,19,19
Tulare,4,2022-01-10,5210,5210,2539,2671,24078,24078,11672,12406,66,9,9,8,1332,1332,1323,1323
Tuolumne,4,2022-01-10,806,806,436,370,4178,4178,2257,1921,13,1,1,1,154,154,153,153
Ventura,4,2022-01-10,17513,17513,11977,5536,88216,88218,60305,27913,227,23,23,34,1258,1258,1235,1235
Yolo,4,2022-01-10,3761,3761,2341,1420,48232,48232,29996,18236,6,4,4,1,303,303,299,299
Yuba,4,2022-01-10,1022,1022,624,398,4108,4108,2504,1604,41,0,0,7,104,104,104,104
Alameda,5,2022-01-17,24712,24712,17335,7377,170500,170505,119538,50967,366,33,33,62,1612,1612,1579,1579
Amador,5,2022-01-17,476,476,282,194,3557,3557,2081,1476,10,2,2,3,73,73,71,71
Butte,5,2022-01-17,2061,2061,1537,524,9327,9327,6949,2378,58,6,6,6,370,370,364,364
Calaveras,5,2022-01-17,564,564,353,211,2472,2472,1542,930,3,2,2,3,97,97,95,95
Colusa,5,2022-01-17,161,161,107,54,719,719,476,243,3,0,0,0,21,21,21,21
Contra Costa,5,2022-01-17,16221,16221,9471,6750,88040,88044,51323,36721,198,22,22,41,1127,1127,1105,1105
Del Norte,5,2022-01-17,200,200,131,69,3758,3758,2429,1329,2,0,0,1,42,42,42,42
El Dorado,5,2022-01-17,1967,1967,1229,738,8062,8062,5041,3021,9,4,4,2,193,193,189,189
Fresno,5,2022-01-17,18267,18267,10940,7327,65974,65974,39477,26497,386,27,27,61,2490,2490,2463,2463
Glenn,5,2022-01-17,306,306,194,112,1076,1076,683,393,3,2,2,0,45,45,43,43
Humboldt,5,2022-01-17,1144,1144,739,405,8323,8323,5365,2958,10,1,1,4,129,129,128,128
Imperial,5,2022-01-17,3415,3415,2124,1291,13220,13220,8218,5002,69,12,12,29,864,864,852,852
Inyo,5,2022-01-17,327,327,216,111,1040,1040,688,352,4,0,0,0,52,52,52,52
Kern,5,2022-01-17,11693,11693,7803,3890,51810,51810,34532,17278,242,29,29,44,2112,2112,2083,2083
Kings,5,2022-01-17,3200,3200,1999,1201,14866,14866,9258,5608,40,4,4,1,398,398,394,394
Lake,5,2022-01-17,583,583,348,235,3245,3245,1935,1310,2,1,1,2,121,121,120,120
Lassen,5,2022-01-17,284,284,196,88,3322,3322,2278,1044,0,0,0,0,54,54,54,54
Los Angeles,5,2022-01-17,218490,218499,186920,31579,1610425,1610487,1376792,233695,4034,504,504,680,28409,28409,27905,27905
Madera,5,2022-01-17,2400,2400,1431,969,10611,10611,6301,4310,32,5,5,10,345,345,340,340
Marin,5,2022-01-17,2421,2421,1461,960,17703,17703,10679,7024,38,4,4,6,264,264,260,260
Mariposa,5,2022-01-17,163,163,95,68,1115,1115,648,467,0,0,0,0,22,22,22,22
Mendocino,5,2022-01-17,922,922,487,435,5015,5015,2630,2385,18,3,3,2,109,109,106,106
Merced,5,2022-01-17,3988,3988,2630,1358,13639,13639,8989,4650,41,18,18,11,737,737,719,719
Modoc,5,2022-01-17,13,13,9,4,102,102,68,34,0,1,1,0,7,7,6,6
Mono,5,2022-01-17,198,198,94,104,809,809,386,423,2,0,0,0,5,5,5,5
Monterey,5,2022-01-17,5903,5903,2860,3043,28328,28328,13710,14618,69,6,6,14,660,660,654,654
Napa,5,2022-01-17,1931,1931,1329,602,11915,11915,8178,3737,21,2,2,5,112,112,110,110
Nevada,5,2022-01-17,1253,1253,753,500,5429,5429,3261,2168,19,1,1,1,115,115,114,114
Orange,5,2022-01-17,41335,41335,29650,11685,251496,251506,180238,71268,998,111,111,199,6298,6298,6187,6187
Placer,5,2022-01-17,4318,4318,2494,1824,19460,19460,11216,8244,178,14,14,36,538,538,524,524
Plumas,5,2022-01-17,194,194,119,75,852,852,524,328,3,0,0,0,12,12,12,12
Riverside,5,2022-01-17,41253,41253,26968,14285,168056,168062,109882,58180,920,97,97,158,5866,5866,5769,5769
Sacramento,5,2022-01-17,21464,21464,13659,7805,101464,101469,64497,36972,473,64,64,97,2638,2638,2574,2574
San Benito,5,2022-01-17,903,903,618,285,4273,4273,2922,1351,4,1,1,4,87,87,86,86
San Bernardino,5,2022-01-17,38499,38499,26931,11568,164352,164357,114969,49388,936,146,146,227,6933,6933,6787,6787
San Diego,5,2022-01-17,60675,60675,51504,9171,265928,265938,225763,40175,1067,103,103,193,4717,4717,4614,4614
San Francisco,5,2022-01-17,11265,11265,5203,6062,94013,94017,43307,50710,212,14,14,44,725,725,711,711
San Joaquin,5,2022-01-17,12719,12719,7803,4916,58085,58085,35642,22443,201,20,20,57,2035,2035,2015,2015
San Luis Obispo,5,2022-01-17,3934,3934,2647,1287,21024,21024,14127,6897,46,12,12,10,391,391,379,379
San Mateo,5,2022-01-17,12487,12487,8948,3539,95951,95955,68674,27281,92,10,10,30,622,622,612,612
